subject_id,session,hemi,roi,contrast_cat,volume,n_searchmask
sub-004,05,l,object_LOC,word,36.0,44271
sub-004,05,l,word_VWFA,face,244.0,10614
sub-004,05,l,word_VWFA,house,321.0,10614
sub-004,05,l,word_VWFA,object,4336.0,10614
sub-004,05,l,word_VWFA,word,17.0,10614
sub-004,05,l,word_STG,face,220.0,7736
sub-004,05,l,word_STG,house,0.0,7736
sub-004,05,l,word_STG,object,964.0,7736
sub-004,05,l,word_STG,word,0.0,7736
sub-004,05,l,word_pSTG_liu,face,217.0,6116
sub-004,05,l,word_pSTG_liu,house,0.0,6116
sub-004,05,l,word_pSTG_liu,object,573.0,6116
sub-004,05,l,word_pSTG_liu,word,0.0,6116
sub-004,05,l,word_IFG,face,1050.0,8255
sub-004,05,l,word_IFG,house,12.0,8255
sub-004,05,l,word_IFG,object,1113.0,8255
sub-004,05,l,word_IFG,word,0.0,8255
sub-004,05,l,evc,face,676.0,8510
sub-004,05,l,evc,house,274.0,8510
sub-004,05,l,evc,object,214.0,8510
sub-004,05,l,evc,word,0.0,8510
sub-004,06,l,face_FFA,face,1589.0,10614
sub-004,06,l,face_FFA,house,671.0,10614
sub-004,06,l,face_FFA,object,4339.0,10614
sub-004,06,l,face_FFA,word,0.0,10614
sub-004,06,l,face_STS,face,249.0,11745
sub-004,06,l,face_STS,house,401.0,11745
sub-004,06,l,face_STS,object,1755.0,11745
sub-004,06,l,face_STS,word,0.0,11745
sub-004,06,l,house_PPA,face,655.0,16838
sub-004,06,l,house_PPA,house,4129.0,16838
sub-004,06,l,house_PPA,object,1478.0,16838
sub-004,06,l,house_PPA,word,3.0,16838
sub-004,06,l,house_TOS,face,1421.0,44271
sub-004,06,l,house_TOS,house,3442.0,44271
sub-004,06,l,house_TOS,object,11863.0,44271
sub-004,06,l,house_TOS,word,62.0,44271
sub-004,06,l,object_pF,face,705.0,4715
sub-004,06,l,object_pF,house,482.0,4715
sub-004,06,l,object_pF,object,2228.0,4715
sub-004,06,l,object_pF,word,0.0,4715
sub-004,06,l,object_LOC,face,1421.0,44271
sub-004,06,l,object_LOC,house,3442.0,44271
sub-004,06,l,object_LOC,object,11863.0,44271
sub-004,06,l,object_LOC,word,62.0,44271
sub-004,06,l,word_VWFA,face,1589.0,10614
sub-004,06,l,word_VWFA,house,671.0,10614
sub-004,06,l,word_VWFA,object,4339.0,10614
sub-004,06,l,word_VWFA,word,0.0,10614
sub-004,06,l,word_STG,face,75.0,7736
sub-004,06,l,word_STG,house,367.0,7736
sub-004,06,l,word_STG,object,546.0,7736
sub-004,06,l,word_STG,word,0.0,7736
sub-004,06,l,word_pSTG_liu,face,69.0,6116
sub-004,06,l,word_pSTG_liu,house,357.0,6116
sub-004,06,l,word_pSTG_liu,object,372.0,6116
sub-004,06,l,word_pSTG_liu,word,0.0,6116
sub-004,06,l,word_IFG,face,454.0,8255
sub-004,06,l,word_IFG,house,37.0,8255
sub-004,06,l,word_IFG,object,441.0,8255
sub-004,06,l,word_IFG,word,0.0,8255
sub-004,06,l,evc,face,576.0,8510
sub-004,06,l,evc,house,1752.0,8510
sub-004,06,l,evc,object,715.0,8510
sub-004,06,l,evc,word,0.0,8510
sub-005,01,l,face_FFA,face,853.0,12159
sub-005,01,l,face_FFA,house,2606.0,12159
sub-005,01,l,face_FFA,object,4559.0,12159
sub-005,01,l,face_FFA,word,2408.0,12159
sub-005,01,l,face_STS,face,669.0,13004
sub-005,01,l,face_STS,house,0.0,13004
sub-005,01,l,face_STS,object,288.0,13004
sub-005,01,l,face_STS,word,1082.0,13004
sub-005,01,l,house_PPA,face,2565.0,19134
sub-005,01,l,house_PPA,house,2840.0,19134
sub-005,01,l,house_PPA,object,1129.0,19134
sub-005,01,l,house_PPA,word,2042.0,19134
sub-005,01,l,house_TOS,face,851.0,50767
sub-005,01,l,house_TOS,house,185.0,50767
sub-005,01,l,house_TOS,object,6421.0,50767
sub-005,01,l,house_TOS,word,1408.0,50767
sub-005,01,l,object_pF,face,830.0,5485
sub-005,01,l,object_pF,house,2107.0,5485
sub-005,01,l,object_pF,object,2266.0,5485
sub-005,01,l,object_pF,word,1522.0,5485
sub-005,01,l,object_LOC,face,851.0,50767
sub-005,01,l,object_LOC,house,185.0,50767
sub-005,01,l,object_LOC,object,6421.0,50767
sub-005,01,l,object_LOC,word,1408.0,50767
sub-005,01,l,word_VWFA,face,853.0,12159
sub-005,01,l,word_VWFA,house,2606.0,12159
sub-005,01,l,word_VWFA,object,4559.0,12159
sub-005,01,l,word_VWFA,word,2408.0,12159
sub-005,01,l,word_STG,face,37.0,8492
sub-005,01,l,word_STG,house,48.0,8492
sub-005,01,l,word_STG,object,94.0,8492
sub-005,01,l,word_STG,word,165.0,8492
sub-005,01,l,word_pSTG_liu,face,11.0,6767
sub-005,01,l,word_pSTG_liu,house,0.0,6767
sub-005,01,l,word_pSTG_liu,object,93.0,6767
sub-005,01,l,word_pSTG_liu,word,165.0,6767
sub-005,01,l,word_IFG,face,21.0,9807
sub-005,01,l,word_IFG,house,0.0,9807
sub-005,01,l,word_IFG,object,448.0,9807
sub-005,01,l,word_IFG,word,962.0,9807
sub-005,01,l,evc,face,1080.0,9639
sub-005,01,l,evc,house,858.0,9639
sub-005,01,l,evc,object,203.0,9639
sub-005,01,l,evc,word,1178.0,9639
sub-007,01,r,face_FFA,face,3283.0,12554
sub-007,01,r,face_FFA,house,1198.0,12554
sub-007,01,r,face_FFA,object,4934.0,12554
sub-007,01,r,face_FFA,word,103.0,12554
sub-007,01,r,face_STS,face,7381.0,16681
sub-007,01,r,face_STS,house,1009.0,16681
sub-007,01,r,face_STS,object,1053.0,16681
sub-007,01,r,face_STS,word,75.0,16681
sub-007,01,r,house_PPA,face,3084.0,21386
sub-007,01,r,house_PPA,house,6209.0,21386
sub-007,01,r,house_PPA,object,2443.0,21386
sub-007,01,r,house_PPA,word,318.0,21386
sub-007,01,r,house_TOS,face,6003.0,51086
sub-007,01,r,house_TOS,house,7506.0,51086
sub-007,01,r,house_TOS,object,11657.0,51086
sub-007,01,r,house_TOS,word,850.0,51086
sub-007,01,r,object_pF,face,1590.0,6839
sub-007,01,r,object_pF,house,1062.0,6839
sub-007,01,r,object_pF,object,3027.0,6839
sub-007,01,r,object_pF,word,92.0,6839
sub-007,01,r,object_LOC,face,6003.0,51086
sub-007,01,r,object_LOC,house,7506.0,51086
sub-007,01,r,object_LOC,object,11657.0,51086
sub-007,01,r,object_LOC,word,850.0,51086
sub-007,01,r,word_VWFA,face,3283.0,12554
sub-007,01,r,word_VWFA,house,1198.0,12554
sub-007,01,r,word_VWFA,object,4934.0,12554
sub-007,01,r,word_VWFA,word,103.0,12554
sub-007,01,r,word_STG,face,1062.0,9607
sub-007,01,r,word_STG,house,676.0,9607
sub-007,01,r,word_STG,object,128.0,9607
sub-007,01,r,word_STG,word,80.0,9607
sub-007,01,r,word_pSTG_liu,face,766.0,7624
sub-007,01,r,word_pSTG_liu,house,172.0,7624
sub-007,01,r,word_pSTG_liu,object,128.0,7624
sub-007,01,r,word_pSTG_liu,word,75.0,7624
sub-007,01,r,word_IFG,face,1092.0,8640
sub-007,01,r,word_IFG,house,456.0,8640
sub-007,01,r,word_IFG,object,94.0,8640
sub-007,01,r,word_IFG,word,3.0,8640
sub-007,01,r,evc,face,5417.0,11873
sub-007,01,r,evc,house,2269.0,11873
sub-007,01,r,evc,object,38.0,11873
sub-007,01,r,evc,word,0.0,11873
sub-007,03,r,face_FFA,face,2611.0,12554
sub-007,03,r,face_FFA,house,611.0,12554
sub-007,03,r,face_FFA,object,4340.0,12554
sub-007,03,r,face_FFA,word,50.0,12554
sub-007,03,r,face_STS,face,8661.0,16681
sub-007,03,r,face_STS,house,145.0,16681
sub-007,03,r,face_STS,object,275.0,16681
sub-007,03,r,face_STS,word,10.0,16681
sub-007,03,r,house_PPA,face,2238.0,21386
sub-007,03,r,house_PPA,house,4014.0,21386
sub-007,03,r,house_PPA,object,2111.0,21386
sub-007,03,r,house_PPA,word,234.0,21386
sub-007,03,r,house_TOS,face,6701.0,51086
sub-007,03,r,house_TOS,house,6022.0,51086
sub-007,03,r,house_TOS,object,7464.0,51086
sub-007,03,r,house_TOS,word,0.0,51086
sub-007,03,r,object_pF,face,1269.0,6839
sub-007,03,r,object_pF,house,530.0,6839
sub-007,03,r,object_pF,object,2912.0,6839
sub-007,03,r,object_pF,word,50.0,6839
sub-007,03,r,object_LOC,face,6701.0,51086
sub-007,03,r,object_LOC,house,6022.0,51086
sub-007,03,r,object_LOC,object,7464.0,51086
sub-007,03,r,object_LOC,word,0.0,51086
sub-007,03,r,word_VWFA,face,2611.0,12554
sub-007,03,r,word_VWFA,house,611.0,12554
sub-007,03,r,word_VWFA,object,4340.0,12554
sub-007,03,r,word_VWFA,word,50.0,12554
sub-007,03,r,word_STG,face,1661.0,9607
sub-007,03,r,word_STG,house,11.0,9607
sub-007,03,r,word_STG,object,21.0,9607
sub-007,03,r,word_STG,word,3.0,9607
