category,pair,ctrl_delta_M,ctrl_delta_SD,otc_delta_M,otc_delta_SD,otc_lresec,otc_rresec,p_otc_v_ctrl
face_FFA,house-word,-0.06320577922709895,0.44863335266145155,-0.13782718961047474,0.3229386677065929,-0.16330485657824878,-0.09961068915881366,0.7028
face_FFA,object-word,-0.1598901877814998,0.3031961691104648,0.152705405007653,0.20681222238169883,0.036433971246008924,0.3271125556501191,0.0129
face_STS,face-house,-0.02910313828518918,0.44837710202833,-0.08147474510085714,0.6150262426767863,0.05572655218704862,-0.2872766910327158,0.8551
face_STS,face-object,-0.30182657278527475,0.4406477345635912,0.06275544483893085,0.3522048921674326,0.024145177461871652,0.12067084590451967,0.063
face_STS,face-word,-0.30236341301817,0.587400364562271,-0.017677251361679257,0.7559420163009613,-0.29979148336963424,0.4054940966502532,0.4313
face_STS,house-object,0.07522006610752296,0.7171857148264862,0.170882317926132,0.5758526966847967,0.15603704320324685,0.19315023001045983,0.759
face_STS,house-word,-0.2699246084851179,0.7878386870046381,0.10519734730163552,0.6752283119111037,-0.2548372750123109,0.6452492807725552,0.3093
face_STS,object-word,-0.1201431830866837,0.9290372585943018,0.293358562377148,0.41343077253920807,0.0693461179026823,0.6293772290888466,0.2195
house,face-house,-0.5213984766501046,1.5377487051489949,-0.6996847605137496,0.718357803653667,-0.38107739924576123,-1.1775958024157323,0.752
house,face-object,0.005577850014298879,0.6463938540880875,0.0037419351015509196,1.1632102612153996,0.7336577792220362,-1.091131831079177,0.9977
house,face-word,0.12939429153033805,0.8771703543026413,0.6246722470427757,0.6793404405036563,0.9628036465035933,0.11747514785154911,0.2066
house,house-object,-0.3031446135201025,0.6853460871488635,-0.4344815864985286,0.947194839578024,0.08810397176380892,-1.2183599238920348,0.7646
house,house-word,-0.18757822281916517,0.9122529924824515,-0.23432848384012667,1.112195215107638,0.27866499892722313,-1.0038187079911514,0.9308
house,object-word,-0.18332129549953952,0.5327923850675192,0.23304234377420893,0.6031186425120237,0.4753076387802985,-0.13035559873492536,0.1529
house_PPA,face-house,-0.2902925624905649,0.45089155992420626,0.15132698412011752,0.45349249893775734,-0.06458657992966992,0.47519733019479865,0.0518
house_PPA,face-object,-0.11695097568101757,0.5723849351257987,-0.16094612948327355,0.2815856078993126,-0.30925118952079284,0.06151146057300535,0.8367
house_PPA,face-word,0.07029327146669483,0.6067373808640495,-0.16284736518313886,0.5032655706287725,0.1577938987353057,-0.6438092610608057,0.4099
house_PPA,house-object,-0.20783096626405778,0.4727203759631533,-0.38946214684206465,0.441996100429771,-0.1437868154009232,-0.7579751440037769,0.4372
house_PPA,house-word,-0.2296895163982412,0.49931509602554214,0.36538835306088935,0.5424182879026758,0.3913496089815884,0.32644646917984066,0.0222
house_PPA,object-word,0.0027441801842126795,0.5127555296328494,-0.09134566674476835,0.3472536038641153,0.010577090515540547,-0.2442298026352317,0.6674
house_TOS,face-house,-0.2992410699929001,0.618647472960597,-0.10443860608524731,0.3580352449291209,-0.01628383940842748,-0.23667075610047705,0.425
house_TOS,face-object,0.1719192935056274,0.5191749315735972,-0.12982486296480672,0.7096541215595579,0.19347051258490247,-0.6147679262893705,0.367
house_TOS,face-word,0.6038247817575425,0.6293203514577824,0.6846910115019881,1.151608244085531,0.49803114939591614,0.9646808046610958,0.8742
house_TOS,house-object,-0.11715317069371628,0.5340638541278944,-0.2338051091530616,0.46830659384873047,-0.08815456394213504,-0.45228092696945144,0.6531
house_TOS,house-word,-0.06295996658275398,0.6911683194465084,0.13158947179707373,1.464206565185536,0.38586609954648926,-0.24982546982704956,0.7684
house_TOS,object-word,0.13791688641584632,0.6060826323302222,0.030982291080227497,0.9607124097553744,-0.050551480791316515,0.15328294888754357,0.811
object,face-house,0.0794017714440091,0.9948466027893658,0.0661590742605459,0.5568148774702913,-0.12350244909307957,0.35065135929098407,0.9707
object,face-object,0.09607624718963056,0.5133713064084621,-0.14200414868117206,0.7717326630683956,-0.20842493351843494,-0.04237297142527774,0.5018
object,face-word,0.015124210750319679,0.540924005939876,0.21429227937382905,1.051743196265984,0.03622064930355262,0.4813997244792438,0.6625
object,house-object,0.22248568012350262,0.9242049865297155,-0.04613410285285695,0.758350758497527,-0.01361621867117968,-0.09491092912537286,0.5278
object,house-word,0.06519153862659059,0.7435689526676085,0.38382742736789344,0.5446998837807341,0.3440465024049235,0.44349881481234826,0.3177
object,object-word,0.03763143350092508,0.4939242990139003,0.00533381996020601,0.4694825541001216,0.21413222190506642,-0.3078637829570846,0.9016
object_LOC,face-house,0.0794017714440091,0.9948466027893658,0.0661590742605459,0.5568148774702913,-0.12350244909307957,0.35065135929098407,0.972
object_LOC,face-object,0.09607624718963056,0.5133713064084621,-0.14200414868117206,0.7717326630683956,-0.20842493351843494,-0.04237297142527774,0.5125
object_LOC,face-word,0.015124210750319679,0.540924005939876,0.21429227937382905,1.051743196265984,0.03622064930355262,0.4813997244792438,0.6752
object_LOC,house-object,0.22248568012350262,0.9242049865297155,-0.04613410285285695,0.758350758497527,-0.01361621867117968,-0.09491092912537286,0.5199
object_LOC,house-word,0.06519153862659059,0.7435689526676085,0.38382742736789344,0.5446998837807341,0.3440465024049235,0.44349881481234826,0.3211
object_LOC,object-word,0.03763143350092508,0.4939242990139003,0.00533381996020601,0.4694825541001216,0.21413222190506642,-0.3078637829570846,0.8987
object_pF,face-house,-0.02042769093982281,0.4182117919612225,-0.5223429336159201,0.43236122704823704,-0.6231818852180754,-0.3710845062126872,0.0174
object_pF,face-object,0.09069496348889622,0.2893729608516206,-0.8310295346968172,0.431754338877985,-0.6914334483767949,-1.0404236641768503,0.0
object_pF,face-word,0.11658067024253624,0.386552059802311,-0.382694696795146,0.5818467034594745,-0.6983111388011708,0.09072996621389112,0.0544
object_pF,house-object,0.08708134657255068,0.5129243111716878,-0.7513014571113236,0.5015576287535647,-0.40756615940101915,-1.2669044036767803,0.001
object_pF,house-word,0.08777275707173685,0.5528887407074553,-0.29694358828872625,0.5820157183181925,-0.5672226210313834,0.10847496082525965,0.1899
object_pF,object-word,0.07400565030541664,0.6045546809917377,0.001241237769390735,0.8449044702858579,-0.5066400990399714,0.7630632429834339,0.8548
word,face-house,0.19379534928148873,0.4966559676051075,-0.10600953493065907,0.40897013023922846,-0.3103423546648545,0.09832328480353636,0.2171
word,face-object,0.2815345507455285,0.40614599080514346,-0.2306257072427704,0.642106037571517,-0.2271022672489374,-0.2341491472366034,0.0955
word,face-word,0.24142365285268008,0.44454260396325695,-0.3777930585454103,0.6197302179396522,-0.3003223622867034,-0.4552637548041172,0.0406
