measure,cell,level,ctrl_L_n,ctrl_L_mean,ctrl_L_sd,ctrl_R_n,ctrl_R_mean,ctrl_R_sd,lh_n,lh_mean_z,lh_p_vs0,rh_n,rh_mean_z,rh_p_vs0,ptvspt_diff_z,ptvspt_d,ptvspt_p_mwu,ptvspt_p,q_lh_p_vs0,q_rh_p_vs0,q_ptvspt_p
between-category similarity,house_PPA_strict,house-word,36,-0.2303752491627253,0.3657854938667766,36,-0.41261683106636754,0.41676734695468015,12,0.46678808780875464,0.34526547345265474,12,1.0025919790983364,0.023997600239976002,-0.5358038912895817,-0.3607850347735475,0.40250382378200356,0.37416258374162586,0.582021797820218,0.10638936106389361,0.7483251674832517
between-category similarity,house_PPA_strict,object-word,36,0.4268676561112319,0.31502088805746425,36,0.19397164637510372,0.40609461700590505,12,-0.1335519331139632,0.7457254274572542,12,0.6931706035350563,0.026597340265973404,-0.8267225366490195,-0.6996352104625816,0.14095521914437145,0.098990100989901,0.9587672811666201,0.10638936106389361,0.38533289528190035
between-category similarity,house_PPA_strict,face-house,36,-0.007314763284041607,0.3771250071834062,36,0.09561736963974005,0.40409521342613486,12,0.021193892438221857,0.9658034196580342,12,0.488513223590862,0.11228877112288771,-0.4673193311526402,-0.3712020601740818,0.3708443333042212,0.37166283371662834,0.9885011498850115,0.29943672299436724,0.7483251674832517
between-category similarity,house_PPA_strict,face-object,36,0.5814055712183139,0.38225415772209176,36,0.6412228625488271,0.4399237263508312,12,-0.31101995292859236,0.3117688231176882,12,-0.0442257425303827,0.8757124287571243,-0.26679421039820966,-0.2737377229015499,0.47048642205878966,0.5083491650834917,0.582021797820218,0.8757124287571244,0.8714557115717001
between-category similarity,house_PPA_strict,house-object,36,0.5070030458967724,0.4699878409208325,36,0.6274442493096052,0.40816840002713417,12,0.00280835319817734,0.9885011498850115,12,-0.27809459170549483,0.36926307369263073,0.2809029449036722,0.2800483780341867,0.5443701458566098,0.49625037496250374,0.9885011498850115,0.615938406159384,0.8714557115717001
between-category similarity,object_LOC,face-word,36,1.0127223344783756,0.3931806071891851,36,1.0926806687294994,0.4517304491506077,12,-0.3444387669059626,0.31926807319268075,12,-0.36477284095828333,0.20427957204279573,0.02033407405232074,0.01953417993347091,0.5833604667027033,0.9624037596240376,0.582021797820218,0.3900533023620715,0.9624037596240376
between-category similarity,object_LOC,house-word,36,1.1058950621004002,0.37093652473143207,36,1.1508101355691542,0.46941327640105496,12,-0.28770288101698593,0.36376362363763626,12,-0.21117621171015732,0.5094490550944906,-0.07652666930682861,-0.07319548458981973,1.0,0.8484151584841516,0.582021797820218,0.7056627670566277,0.9624037596240376
between-category similarity,object_LOC,object-word,36,1.1275943549535083,0.4232989687350455,36,1.0760885280252113,0.5614101964766054,12,-0.23849771803911926,0.5541445855414459,12,0.3633958943657217,0.20767923207679231,-0.601893612404841,-0.5040049586990435,0.40250382378200356,0.23107689231076892,0.7823217678232176,0.3900533023620715,0.6162050461620505
between-category similarity,object_LOC,face-house,36,1.2694328173025762,0.32542989154754626,36,1.3135857087798342,0.35319822435223536,12,-0.7958252377048862,0.1638836116388361,12,-0.9505672137187018,0.015298470152984701,0.15474197601381556,0.10167951780342357,0.7508318840891169,0.8052194780521947,0.582021797820218,0.10638936106389361,0.9624037596240376
between-category similarity,object_LOC,face-object,36,0.970901898416035,0.43534547055829725,36,1.275085603203742,0.44588723288961174,12,0.04892745980316271,0.8609139086091391,12,-0.07583720768844789,0.7953204679532047,0.1247646674916106,0.12006938823124007,0.9309874465595671,0.7715228477152285,0.9768114097681141,0.8298996187337788,0.9624037596240376
between-category similarity,object_LOC,house-object,36,1.150867774825798,0.3616626426076776,36,1.310256398263484,0.5728527000260489,12,-0.07462254788873253,0.8593140685931406,12,-0.11338512604392027,0.6664333566643336,0.038762578155187744,0.03256543466994173,0.8852339144732017,0.9372062793720628,0.9768114097681141,0.777740407777404,0.9624037596240376
