measure,parcel,hemi,dropped,p
sum_selectivity,face_FFA,r,sub-082,0.3196
sum_selectivity,face_FFA,r,sub-089,0.1807
sum_selectivity,face_FFA,r,sub-090,0.1862
sum_selectivity,face_FFA,r,sub-091,0.1805
sum_selectivity,face_FFA,r,sub-092,0.221
sum_selectivity,face_FFA,r,sub-099,0.2666
sum_selectivity,face_FFA,r,sub-108,0.2223
sum_selectivity,house_PPA,l,sub-004,0.3435
sum_selectivity,house_PPA,l,sub-005,0.4795
sum_selectivity,house_PPA,l,sub-008,0.7488
sum_selectivity,house_PPA,l,sub-010,0.5441
sum_selectivity,house_PPA,l,sub-021,0.5479
sum_selectivity,house_PPA,l,sub-039,0.4738
sum_selectivity,house_PPA,l,sub-044,0.5484
sum_selectivity,house_PPA,l,sub-066,0.5438
sum_selectivity,house_PPA,l,sub-069,0.5519
sum_selectivity,house_PPA,l,sub-074,0.7604
sum_selectivity,house_PPA,l,sub-075,0.7899
sum_selectivity,house_PPA,l,sub-076,0.5468
sum_selectivity,house_PPA,l,sub-077,0.5
sum_selectivity,house_PPA,l,sub-078,0.5477
sum_selectivity,house_PPA,l,sub-079,0.5364
sum_selectivity,house_PPA,l,sub-082,0.545
sum_selectivity,house_PPA,l,sub-089,0.485
sum_selectivity,house_PPA,l,sub-090,0.5416
sum_selectivity,house_PPA,l,sub-091,0.2814
sum_selectivity,house_PPA,l,sub-092,0.5465
sum_selectivity,house_PPA,l,sub-099,0.5437
sum_selectivity,house_PPA,l,sub-108,0.554
sum_selectivity,house_PPA,r,sub-004,0.1188
sum_selectivity,house_PPA,r,sub-005,0.1186
sum_selectivity,house_PPA,r,sub-008,0.1188
sum_selectivity,house_PPA,r,sub-010,0.4965
sum_selectivity,house_PPA,r,sub-021,0.0992
sum_selectivity,house_PPA,r,sub-039,0.1228
sum_selectivity,house_PPA,r,sub-044,0.0892
sum_selectivity,house_PPA,r,sub-066,0.0761
sum_selectivity,house_PPA,r,sub-069,0.2639
sum_selectivity,house_PPA,r,sub-074,0.1245
sum_selectivity,house_PPA,r,sub-075,0.1249
sum_selectivity,house_PPA,r,sub-076,0.143
sum_selectivity,house_PPA,r,sub-077,0.1216
sum_selectivity,house_PPA,r,sub-078,0.1137
sum_selectivity,house_PPA,r,sub-079,0.1192
sum_selectivity,house_PPA,r,sub-082,0.0961
sum_selectivity,house_PPA,r,sub-089,0.1137
sum_selectivity,house_PPA,r,sub-090,0.0715
sum_selectivity,house_PPA,r,sub-091,0.1156
sum_selectivity,house_PPA,r,sub-092,0.139
sum_selectivity,house_PPA,r,sub-099,0.1039
sum_selectivity,house_PPA,r,sub-108,0.1158
sum_selectivity,object_LOC,l,sub-004,0.0028
sum_selectivity,object_LOC,l,sub-005,0.0068
sum_selectivity,object_LOC,l,sub-008,0.0128
sum_selectivity,object_LOC,l,sub-010,0.0037
sum_selectivity,object_LOC,l,sub-021,0.0022
sum_selectivity,object_LOC,l,sub-039,0.0021
sum_selectivity,object_LOC,l,sub-044,0.0035
sum_selectivity,object_LOC,l,sub-066,0.0026
sum_selectivity,object_LOC,l,sub-069,0.0013
sum_selectivity,object_LOC,l,sub-074,0.0147
sum_selectivity,object_LOC,l,sub-075,0.0104
sum_selectivity,object_LOC,l,sub-076,0.0031
sum_selectivity,object_LOC,l,sub-077,0.0017
sum_selectivity,object_LOC,l,sub-078,0.0026
sum_selectivity,object_LOC,l,sub-079,0.0012
sum_selectivity,object_LOC,l,sub-082,0.0022
sum_selectivity,object_LOC,l,sub-089,0.0018
sum_selectivity,object_LOC,l,sub-090,0.0018
sum_selectivity,object_LOC,l,sub-091,0.0026
sum_selectivity,object_LOC,l,sub-092,0.003
sum_selectivity,object_LOC,l,sub-099,0.0024
sum_selectivity,object_LOC,l,sub-108,0.0029
sum_selectivity,object_LOC,r,sub-004,0.0415
sum_selectivity,object_LOC,r,sub-005,0.0383
sum_selectivity,object_LOC,r,sub-008,0.0357
sum_selectivity,object_LOC,r,sub-010,0.0782
sum_selectivity,object_LOC,r,sub-021,0.0235
sum_selectivity,object_LOC,r,sub-039,0.0398
sum_selectivity,object_LOC,r,sub-044,0.0563
sum_selectivity,object_LOC,r,sub-066,0.0094
sum_selectivity,object_LOC,r,sub-069,0.0869
sum_selectivity,object_LOC,r,sub-074,0.0371
sum_selectivity,object_LOC,r,sub-075,0.0344
sum_selectivity,object_LOC,r,sub-076,0.0956
sum_selectivity,object_LOC,r,sub-077,0.0353
sum_selectivity,object_LOC,r,sub-078,0.0109
sum_selectivity,object_LOC,r,sub-079,0.0345
sum_selectivity,object_LOC,r,sub-082,0.0273
sum_selectivity,object_LOC,r,sub-089,0.0372
sum_selectivity,object_LOC,r,sub-090,0.0431
sum_selectivity,object_LOC,r,sub-091,0.0348
sum_selectivity,object_LOC,r,sub-092,0.1029
sum_selectivity,object_LOC,r,sub-099,0.0549
sum_selectivity,object_LOC,r,sub-108,0.0441
sum_selectivity,word_VWFA,l,sub-004,0.2052
sum_selectivity,word_VWFA,l,sub-005,0.3077
sum_selectivity,word_VWFA,l,sub-008,0.2093
sum_selectivity,word_VWFA,l,sub-010,0.2122
sum_selectivity,word_VWFA,l,sub-021,0.2024
sum_selectivity,word_VWFA,l,sub-039,0.2363
sum_selectivity,word_VWFA,l,sub-044,0.2098
sum_selectivity,word_VWFA,l,sub-066,0.2121
sum_selectivity,word_VWFA,l,sub-069,0.2077
sum_selectivity,word_VWFA,l,sub-074,0.1043
sum_selectivity,word_VWFA,l,sub-075,0.1103
sum_selectivity,word_VWFA,l,sub-076,0.2034
sum_selectivity,word_VWFA,l,sub-077,0.334
sum_selectivity,word_VWFA,l,sub-078,0.2016
sum_selectivity,word_VWFA,l,sub-079,0.2002
sum_selectivity,word_VWFA,l,sub-082,0.2071
sum_selectivity,word_VWFA,l,sub-089,0.3942
sum_selectivity,word_VWFA,l,sub-090,0.2018
sum_selectivity,word_VWFA,l,sub-091,0.313
sum_selectivity,word_VWFA,l,sub-092,0.2028
sum_selectivity,word_VWFA,l,sub-099,0.1997
sum_selectivity,word_VWFA,l,sub-108,0.2061
sum_selectivity,word_VWFA,r,sub-004,0.7459
sum_selectivity,word_VWFA,r,sub-005,0.7542
sum_selectivity,word_VWFA,r,sub-008,0.7516
sum_selectivity,word_VWFA,r,sub-010,0.7366
sum_selectivity,word_VWFA,r,sub-021,0.4316
sum_selectivity,word_VWFA,r,sub-039,0.7483
sum_selectivity,word_VWFA,r,sub-044,0.6816
sum_selectivity,word_VWFA,r,sub-066,0.9067
sum_selectivity,word_VWFA,r,sub-069,0.9216
sum_selectivity,word_VWFA,r,sub-074,0.7459
sum_selectivity,word_VWFA,r,sub-075,0.7549
sum_selectivity,word_VWFA,r,sub-076,0.7846
sum_selectivity,word_VWFA,r,sub-077,0.7456
sum_selectivity,word_VWFA,r,sub-078,0.4272
sum_selectivity,word_VWFA,r,sub-079,0.7483
sum_selectivity,word_VWFA,r,sub-082,0.6961
sum_selectivity,word_VWFA,r,sub-089,0.7387
sum_selectivity,word_VWFA,r,sub-090,0.7675
sum_selectivity,word_VWFA,r,sub-091,0.7464
sum_selectivity,word_VWFA,r,sub-092,0.6155
sum_selectivity,word_VWFA,r,sub-099,0.9613
sum_selectivity,word_VWFA,r,sub-108,0.7176
distinctiveness,face_FFA,l,sub-004,0.3524
distinctiveness,face_FFA,l,sub-005,0.1931
distinctiveness,face_FFA,l,sub-008,0.1989
distinctiveness,face_FFA,l,sub-010,0.1662
distinctiveness,face_FFA,l,sub-021,0.1616
distinctiveness,face_FFA,l,sub-039,0.1407
distinctiveness,face_FFA,l,sub-044,0.1538
distinctiveness,face_FFA,l,sub-066,0.1476
distinctiveness,face_FFA,l,sub-069,0.1526
distinctiveness,face_FFA,l,sub-074,0.4178
distinctiveness,face_FFA,l,sub-075,0.087
distinctiveness,face_FFA,l,sub-076,0.1519
distinctiveness,face_FFA,l,sub-077,0.1008
distinctiveness,face_FFA,l,sub-078,0.1556
distinctiveness,face_FFA,l,sub-079,0.1161
distinctiveness,face_FFA,l,sub-082,0.1527
distinctiveness,face_FFA,l,sub-089,0.1113
distinctiveness,face_FFA,l,sub-090,0.1572
distinctiveness,face_FFA,l,sub-091,0.2048
distinctiveness,face_FFA,l,sub-092,0.1588
distinctiveness,face_FFA,l,sub-099,0.1534
distinctiveness,face_FFA,l,sub-108,0.1536
distinctiveness,face_FFA,r,sub-004,0.0761
distinctiveness,face_FFA,r,sub-005,0.0772
distinctiveness,face_FFA,r,sub-008,0.0742
distinctiveness,face_FFA,r,sub-010,0.1085
distinctiveness,face_FFA,r,sub-021,0.1598
distinctiveness,face_FFA,r,sub-039,0.0743
distinctiveness,face_FFA,r,sub-044,0.0305
distinctiveness,face_FFA,r,sub-066,0.1106
distinctiveness,face_FFA,r,sub-069,0.1237
distinctiveness,face_FFA,r,sub-074,0.0803
distinctiveness,face_FFA,r,sub-075,0.0724
distinctiveness,face_FFA,r,sub-076,0.1098
distinctiveness,face_FFA,r,sub-077,0.0789
distinctiveness,face_FFA,r,sub-078,0.1406
distinctiveness,face_FFA,r,sub-079,0.0775
distinctiveness,face_FFA,r,sub-082,0.0597
distinctiveness,face_FFA,r,sub-089,0.075
distinctiveness,face_FFA,r,sub-090,0.0687
distinctiveness,face_FFA,r,sub-091,0.0802
distinctiveness,face_FFA,r,sub-092,0.0486
distinctiveness,face_FFA,r,sub-099,0.1165
distinctiveness,face_FFA,r,sub-108,0.0376
distinctiveness,house_PPA,l,sub-004,0.1105
distinctiveness,house_PPA,l,sub-005,0.1498
distinctiveness,house_PPA,l,sub-008,0.0831
distinctiveness,house_PPA,l,sub-010,0.0792
distinctiveness,house_PPA,l,sub-021,0.0808
distinctiveness,house_PPA,l,sub-039,0.0699
distinctiveness,house_PPA,l,sub-044,0.0796
distinctiveness,house_PPA,l,sub-066,0.0851
distinctiveness,house_PPA,l,sub-069,0.0773
distinctiveness,house_PPA,l,sub-074,0.1769
