measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
distinctiveness,4,A = RH ctrl        B = LH-intact pt  [crossed],supplemental,False,word_VWFA,,-0.19452237371287617,-0.5112307365188555,0.12788721127887212,0.4931506849315068,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,object_LOC,,-0.18291154737010307,-0.526604731723026,0.12188781121887811,0.33196680331966805,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,house_PPA_strict,,-0.16072214025514564,-0.4627002796048623,0.16598340165983402,0.33196680331966805,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,face_FFA,,-0.027457883742737943,-0.09242528152263817,0.7805219478052194,0.7805219478052194,A,36,12,23.0,primary_strict
distinctiveness,5,A = LH ctrl        B = RH-intact pt  [crossed],supplemental,False,word_VWFA,,-0.08015558554739466,-0.22320329835696232,0.5066493350664933,0.6755324467553244,A,36,12,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,object_LOC,,-0.1496429329874773,-0.2599445873857668,0.1250874912508749,0.1667833216678332,A,36,36,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,house_PPA_strict,,-0.014350243616725945,-0.03773089468405816,0.8262173782621738,0.8262173782621738,A,36,36,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,face_FFA,,0.14812125734846926,0.36107723198164476,0.0372962703729627,0.0745925407459254,B,36,36,23.0,primary_strict
distinctiveness,6,A = LH ctrl        B = RH ctrl       [paired],supplemental,True,word_VWFA,,0.2831490229904578,0.5923188764610946,0.0013998600139986002,0.005599440055994401,B,36,36,23.0,primary_strict
geometry,1,A = LH ctrl        B = LH-intact pt,primary,False,object_LOC,OMNIBUS (6 pairs),0.1081769736558463,,0.38116188381161886,,B,36,12,23.0,primary_strict
