
===== p_perm: 161 changed =====
           measure                           model        level         comparison hemi  p_perm_old  p_perm_new
          geometry  house_PPA_RH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.079592    0.076792
          geometry  house_PPA_RH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.216178    0.225477
          geometry             house_PPA_ctrl_LvsR          ALL            omnibus  NaN         NaN         NaN
          geometry             house_PPA_ctrl_LvsR   face-house  control_asymmetry  NaN    0.339666    0.341766
          geometry             house_PPA_ctrl_LvsR  face-object  control_asymmetry  NaN    0.486051    0.484652
          geometry             house_PPA_ctrl_LvsR    face-word  control_asymmetry  NaN    0.527247    0.519348
          geometry             house_PPA_ctrl_LvsR house-object  control_asymmetry  NaN    0.518248    0.512249
          geometry             house_PPA_ctrl_LvsR   house-word  control_asymmetry  NaN    0.482652    0.502250
          geometry             house_PPA_ctrl_LvsR  object-word  control_asymmetry  NaN    0.997600    0.998600
          geometry object_LOC_LH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry object_LOC_LH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.083992    0.055194
          geometry object_LOC_LH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.828917    0.762224
          geometry object_LOC_LH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.651735    0.428557
          geometry object_LOC_LH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.995100    0.907009
          geometry object_LOC_LH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.753425    0.379662
          geometry object_LOC_LH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.619838    0.484752
          geometry object_LOC_RH-intact_pt_vs_ctrl          ALL            omnibus  NaN         NaN         NaN
          geometry object_LOC_RH-intact_pt_vs_ctrl   face-house patient_vs_control  NaN    0.069593    0.019398
          geometry object_LOC_RH-intact_pt_vs_ctrl  face-object patient_vs_control  NaN    0.995900    0.592841
          geometry object_LOC_RH-intact_pt_vs_ctrl    face-word patient_vs_control  NaN    0.460654    0.449155
          geometry object_LOC_RH-intact_pt_vs_ctrl house-object patient_vs_control  NaN    0.748725    0.565443
          geometry object_LOC_RH-intact_pt_vs_ctrl   house-word patient_vs_control  NaN    0.459254    0.248475
          geometry object_LOC_RH-intact_pt_vs_ctrl  object-word patient_vs_control  NaN    0.325667    0.598440
          geometry            object_LOC_ctrl_LvsR          ALL            omnibus  NaN         NaN         NaN
          geometry            object_LOC_ctrl_LvsR   face-house  control_asymmetry  NaN    0.350665    0.346365
          geometry            object_LOC_ctrl_LvsR  face-object  control_asymmetry  NaN    0.001700    0.001000
          geometry            object_LOC_ctrl_LvsR    face-word  control_asymmetry  NaN    0.584942    0.592641
          geometry            object_LOC_ctrl_LvsR house-object  control_asymmetry  NaN    0.058094    0.055794
          geometry            object_LOC_ctrl_LvsR   house-word  control_asymmetry  NaN    0.303470    0.295470
