measure,comparison,comparison_name,role,paired,roi,pair,diff,cohen_d,p,q_fdr,higher_group,n_a,n_b,age_cap,roi_set
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,house-object,0.03254688971536879,0.0878776948944724,0.7800439912017596,0.7800439912017595,B,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,house-word,-0.4207708670321975,-0.9452334253751267,0.007398520295940812,0.04439112177564487,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,house_PPA_strict,object-word,-0.24297028522648678,-0.6370241873812105,0.0611877624475105,0.1279744051189762,A,36,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,OMNIBUS (6 pairs),0.6565408805836601,,0.003999200159968006,,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-house,0.12335602228922898,0.2952571865432098,0.3809238152369526,0.4571085782843431,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-object,-0.06868561063725709,-0.1739252259838325,0.6072785442911418,0.6072785442911418,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,face-word,-0.6342879041009148,-1.5744763985810641,0.0001999600079984003,0.0011997600479904018,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,house-object,0.21635755386572986,0.4600880654569121,0.1807638472305539,0.3615276944611077,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,house-word,-0.17270957616507987,-0.3778267380488243,0.26854629074185166,0.4028194361127775,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,face_FFA,object-word,-0.3970467543469048,-0.9029924325911471,0.012397520495900819,0.03719256148770246,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,OMNIBUS (6 pairs),0.7001138732564862,,0.011397720455908818,,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-house,-0.2246094678790857,-0.4374308688678671,0.1975604879024195,0.395120975804839,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-object,0.10662970612270739,0.25804324714769067,0.4355128974205159,0.5226154769046192,B,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,face-word,-0.02509910223200662,-0.06344004491184155,0.8494301139772046,0.8494301139772046,A,35,12,23.0,primary_strict
geometry,2,A = RH ctrl        B = RH-intact pt,primary,False,word_VWFA,house-object,-0.1495146127986582,-0.3331862402477796,0.3165366926614677,0.4748050389922016,A,35,12,23.0,primary_strict
