subject_id,group,hemi,intact_hemi,n_vox,face-house,face-object,face-word,house-object,house-word,object-word,reliability,n_run
sub-023,control,l,both,11340,-0.3296514900695145,-0.1183798036217389,-0.0858695943679161,-0.3081301213088944,-0.6109325681700666,-0.0746754520909612,0.378072129825887,3
sub-023,control,r,both,11540,-0.372158417236852,-0.2214748970521369,0.0155784884307487,-0.3436148907599888,-0.8722736641764042,0.0424446645654092,0.378072129825887,3
sub-025,control,l,both,11340,-0.1191838499722254,-0.5049202611496894,0.0615316050659605,-0.2887924289264623,-0.6604846503236235,-0.2482916752714258,0.48607160284962614,3
sub-025,control,r,both,11540,0.0364188460260846,-0.2314564434576806,-0.2995418988295329,-0.4202595873824833,-0.6102439373303908,-0.2133269355273887,0.48607160284962614,3
sub-026,control,l,both,11340,-0.4558073952098029,-0.1970196921662227,0.0093868885574016,-0.3699696802274738,-0.4897852144894869,-0.2223743092517598,0.10469690407358317,3
sub-026,control,r,both,11540,-0.2966489883836957,-0.5673938205306706,0.0684834704014475,-0.2303494522695679,-0.6357122509930747,-0.1709444356052827,0.10469690407358317,3
sub-027,control,l,both,11340,-0.1811565321327503,-0.1021351586226514,-0.0889733139914565,-0.4206779297027493,-0.5756417894058732,-0.3233175633549242,0.5292347354822089,3
sub-027,control,r,both,11540,-0.327027304411335,-0.1159120184226155,-0.103867365338054,-0.2108444098301168,-0.5822859461016312,-0.451338555669701,0.5292347354822089,3
sub-028,control,l,both,11340,-0.3026991919112545,-0.3264736101412314,-0.1127875528317655,-0.3271915121697068,-0.4905112636065826,-0.2139556003078195,0.8949146975301904,2
sub-028,control,r,both,11540,-0.292451127447265,-0.1062400173306766,-0.1732780169888271,-0.2943057176788565,-0.6186080235318958,-0.1771650863257688,0.8949146975301904,2
sub-029,control,l,both,11340,-0.4763524769164939,0.1209023113997644,0.0112922064302023,-0.3495399510155089,-0.5887371169872235,-0.1923293263858719,0.9731736545210354,3
sub-029,control,r,both,11540,-0.3697926875713423,0.2492815120121883,-0.2750934423550515,-0.204044655323488,-0.5536880636521744,-0.3869028285659266,0.9731736545210354,3
sub-031,control,l,both,11340,-0.5468306521692988,-0.2777373292469373,0.1011761302425101,-0.1494187781575434,-0.6801929670279251,-0.1459477062795269,0.9164964254050155,3
sub-031,control,r,both,11540,-0.6139506934036979,0.0769817158499403,0.1367174265756667,-0.1950757907903722,-0.7798841279503105,-0.1603145833464941,0.9164964254050155,3
sub-034,control,l,both,11340,-0.5509011363086824,-0.0943174910127714,-0.0531116114173875,-0.3463609153758428,-0.7247334279484566,0.1463031477294448,0.8990840696811024,3
sub-034,control,r,both,11540,-0.282699208509007,-0.2199482966376135,-0.2102405663912732,-0.3933054425897834,-0.6375140894033542,0.0645400341471512,0.8990840696811024,3
sub-035,control,l,both,11340,-0.2848978456501991,-0.0965345257610451,-0.1013740949065268,-0.1656397747546677,-0.8279283144264249,-0.0451343468806729,0.7112785154869731,3
sub-035,control,r,both,11540,-0.2092801885996575,-0.0924717704514605,-0.3097148976950736,-0.1564120996961168,-0.8673738186102353,-0.0223027461075792,0.7112785154869731,3
sub-036,control,l,both,11340,-0.6128601059980413,-0.5907994248899667,0.5562363621231092,-0.0444674685994456,-0.7262483211923452,-0.437997639959697,0.5493720108261578,5
sub-036,control,r,both,11540,-0.5580852989371492,-0.3474112449936028,0.1526244626074939,0.0311290899144584,-0.7948073299112766,-0.3908273060955886,0.5493720108261578,5
sub-037,control,l,both,11340,-0.4699814875047617,-0.4996671694100366,0.2809533785666566,-0.1386019104895444,-0.9414114145057078,-0.1204627523817174,0.9083349595795939,5
sub-037,control,r,both,11540,-0.5334204995276081,-0.1884135390005713,0.1723572336261604,0.0260682964570249,-0.9958531044427718,-0.3071712698971872,0.9083349595795939,5
sub-038,control,l,both,11340,-0.5538114670628068,-0.579266360117759,0.311036571867204,-0.0448927801208519,-0.9185093461647704,-0.2057217135441645,0.7916045023697612,3
sub-038,control,r,both,11540,-0.494088583108688,-0.1842688204554354,0.1156328712092795,0.0008010388542912,-0.914283518768836,-0.4487702772175952,0.7916045023697612,3
sub-039,OTC,l,left,11340,-0.4016015294800805,-0.1006323064129785,-0.1179193833796611,-0.2754019007300526,-0.5556062748386923,-0.2825828177731916,0.5905122403713864,3
sub-040,control,l,both,11340,-0.2258718045535572,-0.2075683165459547,0.0417113002398143,-0.227326428258064,-0.694230798777922,-0.2338462319562359,0.917556765526312,3
sub-040,control,r,both,11540,-0.3140323999949269,-0.1527553013429565,-0.003418331458971,-0.0517922978726404,-0.9070815010912308,-0.2436240643296358,0.917556765526312,3
sub-041,control,l,both,11340,-0.2963038358738203,-0.3745707299834507,-0.1371871438999354,-0.294291123153492,-0.544560080533942,0.0523381970278171,0.29001915044705123,3
sub-041,control,r,both,11540,-0.361737522364678,-0.1506013993940115,-0.0804399228890208,-0.0578075040827464,-0.6569723718495744,-0.3609405623110863,0.29001915044705123,3
sub-043,control,l,both,11340,-0.3651159958677191,-0.332907286678564,0.0384908435200933,-0.3511509780940242,-0.7860607709661388,-0.063976287165204,0.3699739176195249,3
sub-043,control,r,both,11540,-0.4831596248663252,-0.0734629698217,-0.030921364817902,-0.1535511370120105,-0.6702721701181584,-0.3530935745525019,0.3699739176195249,3
sub-044,OTC,r,right,11540,-0.4342446537369708,-0.5519133015190485,0.1223120320559632,0.1043911339297733,-0.8692738049317207,-0.2493619126824075,0.17958776080678912,3
sub-052,control,l,both,11340,-0.3026588682851327,-0.2525137317716935,0.1944910142730831,0.1078564003408199,-0.6362171399294033,-0.4246389858421929,0.8546806162437517,2
sub-052,control,r,both,11540,-0.4821892592169629,-0.1244489486704093,0.1108938394347496,0.301052930275947,-0.7223260370126169,-0.6906747649213139,0.8546806162437517,2
sub-054,control,l,both,11340,-0.1944450614444585,-0.2334233636544752,-0.164989812657977,-0.2371280665971947,-0.7599730890828885,-0.0651368787220292,0.9565995338807519,3
sub-054,control,r,both,11540,-0.2306545462090417,-0.1956206248540334,-0.2738692476462308,0.1333844170805477,-0.689441954638019,-0.3889054337985314,0.9565995338807519,3
sub-057,control,l,both,11340,-0.4256775413620252,-0.2802131749466237,0.0729137777804094,-0.071807414517011,-0.5299347060597684,-0.5298373083025886,0.8390188686781612,3
sub-057,control,r,both,11540,-0.4128677127963914,-0.0288162664133843,-0.0086920443674576,-0.2552291718605882,-0.6651287363858256,-0.304925265217734,0.8390188686781612,3
sub-058,control,l,both,11340,-0.3188994936769752,-0.323732454063507,0.1371496344517382,-0.1501711590766295,-0.5907132679445977,-0.3029868716514834,0.6202454940543279,3
sub-058,control,r,both,11540,-0.1870607529908524,-0.1337018440972663,-0.037831009055304,0.1626951008151544,-0.7578031996801317,-0.7979358186656925,0.6202454940543279,3
sub-059,control,l,both,11340,-0.2437859838086724,-0.2159967495189183,-0.0123341386753433,-0.4173900726995879,-0.4825201706487422,-0.3183675442452575,0.6675733280297597,3
sub-059,control,r,both,11540,-0.4498076172781533,-0.0833326519284967,-0.1442735511445035,-0.1823399877251609,-0.4317488694916993,-0.530624674087309,0.6675733280297597,3
sub-062,control,l,both,11340,-0.4446754804692341,-0.1763305580076916,0.0164137876158274,-0.223391691661492,-0.6349110356991815,-0.3448673491672986,0.37456519256973325,3
sub-062,control,r,both,11540,-0.3361853022521999,0.0948668421052451,-0.3885339467262816,-0.2139468193870071,-0.5415288592149796,-0.3669262191547424,0.37456519256973325,3
sub-064,control,l,both,11340,-0.1891144331763049,-0.1706511320832555,-0.0758715486307565,-0.234667582515473,-0.7190596063755216,-0.1425776463996742,0.8585886549124967,3
sub-064,control,r,both,11540,-0.045285913573907,-0.0933623981995602,-0.213188884508979,-0.3007118827189277,-0.6775854436026323,-0.1274835073519562,0.8585886549124967,3
sub-065,control,l,both,11340,-0.3166020904654039,0.1403632892545424,-0.0958471416255556,-0.1579832675298314,-0.6709153323977328,-0.3127300029349483,0.8710170631756161,3
sub-065,control,r,both,11540,-0.2337797795233083,0.2079332711528121,-0.4714542105733122,-0.0214928459699115,-0.4734643986831227,-0.5832134617660644,0.8710170631756161,3
sub-066,OTC,r,right,11540,-0.4938473983481187,-0.1989973855217219,-0.1271519583515585,-0.2070801581773205,-0.3838434547455596,0.0592405885730737,0.41209897359205694,3
sub-067,control,l,both,11340,-0.2316321426289914,-0.176973959693931,-0.0537987265856058,-0.5117122952925373,-0.4237959565031646,-0.2790965119768268,0.2184237176162668,2
sub-067,control,r,both,11540,-0.1505842161519485,0.0015444284399095,-0.2402977219539277,-0.4663493111347712,-0.5827124612486759,-0.2640359060787949,0.2184237176162668,2
sub-068,control,l,both,11340,-0.4311688424444683,-0.308660126503192,-0.0658748428353475,-0.0956100244732599,-0.5636950321342726,-0.3268083931002586,0.1236916261343958,3
sub-068,control,r,both,11540,-0.2692076480776522,0.0335428505789114,-0.2731451377119993,0.0976599159047297,-0.6313334697862809,-0.5878687777157081,0.1236916261343958,3
sub-069,OTC,r,right,11540,-0.408741597685282,-0.1546161782334168,0.1371815427242924,-0.0269024498421297,-0.3342978751586946,-0.3128922254889348,0.5735550876933487,3
sub-071,control,l,both,11340,-0.3943064466953281,-0.1674834682829448,-0.1917283730012534,-0.1561522205141352,-0.6166452451841926,-0.1901326877998866,0.20527895017647124,2
sub-071,control,r,both,11540,-0.453990206774897,-0.2907053868564949,-0.118376186724543,0.0620923005135636,-0.6720520123298779,-0.3897767027659642,0.20527895017647124,2
sub-074,OTC,l,left,11340,-0.3521284464646106,-0.6479029293931411,0.2421940629818755,0.0240311810218519,-0.541187255399846,-0.6404798791071066,0.8195025221303922,3
sub-075,OTC,l,left,11340,-0.2211083160655679,-0.3092519649439301,-0.1057509744207101,-0.3615219867709394,-0.2890930108430932,-0.4265421726286757,0.5288756413133491,3
sub-076,OTC,r,right,11540,-0.2950259581263192,-0.329398250777783,-0.2754891596338853,-0.1206317258508187,-0.3813588777519908,-0.4270816167880796,0.6006772550680776,3
sub-077,OTC,l,left,11340,-0.5372373410191436,-0.1785307292942114,0.0394276343128293,-0.1845144663139281,-0.8071574126073451,-0.1786754591882173,0.42738735050275733,3
sub-078,OTC,r,right,11540,-0.4035792113869165,-0.0457201512062958,-0.096989414167267,-0.0412587383721764,-0.6854054727367426,-0.5769452506169837,0.9361735947437825,3
sub-079,OTC,l,left,11340,-0.3710488607200622,-0.0193177135612724,-0.1359980257675527,-0.1335420395752954,-0.5256422367189287,-0.3877777311018426,0.5845513869147415,3
sub-082,OTC,r,right,11540,-0.4897337078898176,0.0753770614072501,-0.1834204749499195,0.1306894478861806,-0.6633522438281972,-0.8317284854326601,0.9201776815246725,3
sub-084,control,l,both,11340,-0.2456640748807205,-0.2879961924723555,-0.1463769346482172,-0.0574523230089221,-0.8810894194870011,-0.0229959831385146,-0.08509913590940942,3
sub-084,control,r,both,11540,0.0581462002107244,0.044340778661768,-0.6059487418007355,-0.2077873184594618,-0.6317799853322169,-0.105864211929131,-0.08509913590940942,3
sub-087,control,l,both,11340,-0.3738865797699259,-0.1170468274255636,0.119621484888137,-0.1921601349350868,-0.8751359541836883,-0.24852852339307,0.95808453225188,3
sub-087,control,r,both,11540,-0.4017445781359884,-0.0512911741049304,-0.1753300743566228,0.0689501806651799,-0.7080865933921666,-0.6501690879155925,0.95808453225188,3
sub-088,control,l,both,11340,-0.7453929443655783,-0.7287593916493798,0.1628607133665972,0.2447795087229627,-0.6581339664915473,-0.170434091500597,0.6401274621511063,3
sub-088,control,r,both,11540,-0.4338365665870777,-0.0311511107015093,-0.0044695619901265,0.1916655330180352,-0.7910872431437296,-0.7592228238127968,0.6401274621511063,3
sub-089,OTC,l,left,11340,-0.3607900472314264,0.2083462928852735,-0.1523867085084213,0.0269957925194682,-0.6349478042961162,-0.7117573542786693,0.7426152027965777,3
sub-090,OTC,r,right,11540,-0.4774996637536567,0.1160847008855013,-0.1031831619400458,-0.1431136751017492,-0.546949005252569,-0.2543713826509698,0.7205085663337192,3
sub-092,OTC,r,right,11540,-0.4125998500446737,-0.1943970410967098,-0.1180790088964438,-0.0618999724157197,-0.4785077183052797,-0.2819764304851077,0.6752323098525024,3
sub-093,control,l,both,11340,-0.6431828728558775,-0.2099356768881748,0.2506351931319027,0.0690175225603436,-0.8173363983490198,-0.4355267519344417,0.7842211281704362,3
sub-093,control,r,both,11540,-0.4292900787337635,0.0711469556773444,-0.1667805787012366,0.0706640859130466,-0.7152828579131361,-0.6807632991397421,0.7842211281704362,3
sub-094,control,l,both,11340,-0.350039911849478,-0.3520673283664361,-0.0802539634340404,-0.137154835489896,-0.5836683745571151,-0.261664924084976,0.6800226866068536,3
sub-094,control,r,both,11540,-0.3979759660799624,-0.20926941875234,-0.0308114535384617,-0.0656024978013625,-0.675840139493994,-0.2709290346755461,0.6800226866068536,3
sub-097,control,l,both,11340,-0.4707379727524906,-0.3968805105201128,-0.0603621759528649,-0.0793975363401323,-0.5017699611943542,-0.283951469274636,0.8796639085228867,3
sub-097,control,r,both,11540,-0.408678049097561,-0.2016589636914928,-0.1426975692452507,-0.154063477467915,-0.6347998415908236,-0.2711088097486132,0.8796639085228867,3
sub-098,OTC,l,left,11340,-0.3257086576437806,-0.0358477923667796,-0.1617183717584019,-0.271030441293176,-0.3435915998641194,-0.5406443042361582,0.7087215772368651,3
sub-099,OTC,r,right,11540,-0.1704317076343556,0.0696850410324072,-0.1510306642992992,-0.2188244642660755,-0.8715796108602518,-0.2351418935297143,0.5420456634166826,3
sub-101,OTC,l,left,11340,-0.3228747755970297,-0.479172401169694,-0.1504846851478004,-0.1860227454329907,-0.301164130634615,0.082188685079662,0.4824805106822952,3
sub-108,OTC,r,right,11540,-0.3993744425985113,-0.3658503416995893,0.0081134773530104,-0.2480256320653406,-0.4431884804512442,-0.3130980567195083,0.0611156675612088,3
sub-109,OTC,l,left,11340,-0.3057907263865411,-0.0376302620074059,-0.2017112333626871,0.0400487269371609,-0.6319376917339089,-0.2358598275592829,0.11057206077286125,2
