subject_id,group,partition,category,threshold,li
sub-004,OTC,lateral,face,2.75,0.06797385620915031
sub-004,OTC,medial,face,0.25,-0.12006664990563382
sub-004,OTC,medial,face,0.5,-0.1307171005159492
sub-004,OTC,medial,face,0.75,-0.1375233352867075
sub-004,OTC,medial,face,1.0,-0.08203872677842225
sub-004,OTC,medial,face,1.25,-0.030695294473271018
sub-004,OTC,medial,face,1.5,0.15449562594597774
sub-004,OTC,medial,face,1.75,0.33365863961052883
sub-004,OTC,medial,face,2.0,0.6852880197757454
sub-004,OTC,medial,face,2.25,0.9173969662590948
sub-004,OTC,medial,face,2.5,1.0
sub-004,OTC,medial,face,2.75,1.0
sub-004,OTC,medial,face,3.0,1.0
sub-004,OTC,whole,house,0.25,0.1400498537172721
sub-004,OTC,whole,house,0.5,0.18547457208201212
sub-004,OTC,whole,house,0.75,0.24414258810077347
sub-004,OTC,whole,house,1.0,0.30309927230143763
sub-004,OTC,whole,house,1.25,0.37095154691611376
sub-004,OTC,whole,house,1.5,0.4542494713425387
sub-004,OTC,whole,house,1.75,0.5691763074392991
sub-004,OTC,whole,house,2.0,0.676826961876856
sub-004,OTC,whole,house,2.25,0.7836233556313467
sub-004,OTC,whole,house,2.5,0.8256526322763895
sub-004,OTC,whole,house,2.75,0.8623780778163116
sub-004,OTC,whole,house,3.0,0.8797732563104251
sub-004,OTC,whole,house,3.25,0.9083104979945974
sub-004,OTC,whole,house,3.5,0.9370728067103061
sub-004,OTC,whole,house,3.75,0.9721900819989636
sub-004,OTC,whole,house,4.0,1.0
sub-004,OTC,whole,house,4.25,1.0
sub-004,OTC,whole,house,4.5,1.0
sub-004,OTC,whole,house,4.75,1.0
sub-004,OTC,whole,house,5.0,1.0
sub-004,OTC,lateral,house,0.25,0.12415459492573266
sub-004,OTC,lateral,house,0.5,0.15540226774856455
sub-004,OTC,lateral,house,0.75,0.21233226090154755
sub-004,OTC,lateral,house,1.0,0.25777071510585065
sub-004,OTC,lateral,house,1.25,0.31499995653796814
sub-004,OTC,lateral,house,1.5,0.39412412732471486
sub-004,OTC,lateral,house,1.75,0.49364091545749417
sub-004,OTC,lateral,house,2.0,0.5906586424285131
sub-004,OTC,lateral,house,2.25,0.7279013533344545
sub-004,OTC,lateral,house,2.5,0.7775852380667735
sub-004,OTC,lateral,house,2.75,0.7983253270477529
sub-004,OTC,lateral,house,3.0,0.8163561581128004
sub-004,OTC,lateral,house,3.25,0.8473183681417774
sub-004,OTC,lateral,house,3.5,0.8827401231393971
sub-004,OTC,lateral,house,3.75,0.9536339888436841
sub-004,OTC,lateral,house,4.0,0.997342534962703
sub-004,OTC,lateral,house,4.25,1.0
sub-004,OTC,lateral,house,4.5,1.0
sub-004,OTC,lateral,house,4.75,1.0
sub-004,OTC,lateral,house,5.0,1.0
sub-004,OTC,medial,house,0.25,0.18313566110930263
sub-004,OTC,medial,house,0.5,0.2563630034010764
sub-004,OTC,medial,house,0.75,0.3367140209955779
sub-004,OTC,medial,house,1.0,0.4248905233162789
sub-004,OTC,medial,house,1.25,0.5407719657121713
sub-004,OTC,medial,house,1.5,0.6367581434641164
sub-004,OTC,medial,house,1.75,0.7714045321679741
sub-004,OTC,medial,house,2.0,0.8845962438057555
sub-004,OTC,medial,house,2.25,0.9354103471633606
sub-004,OTC,medial,house,2.5,0.9338072111773397
sub-004,OTC,medial,house,2.75,0.982662437349731
sub-004,OTC,medial,house,3.0,0.9937264660673053
sub-004,OTC,medial,house,3.25,1.0
sub-004,OTC,medial,house,3.5,1.0
sub-004,OTC,medial,house,3.75,1.0
sub-004,OTC,medial,house,4.0,1.0
sub-004,OTC,medial,house,4.25,1.0
sub-004,OTC,medial,house,4.5,1.0
sub-004,OTC,medial,house,4.75,1.0
sub-004,OTC,medial,house,5.0,1.0
sub-004,OTC,whole,object,0.25,0.11024091551375773
sub-004,OTC,whole,object,0.5,0.14685212809547568
sub-004,OTC,whole,object,0.75,0.20126280692377538
sub-004,OTC,whole,object,1.0,0.2846421962901248
sub-004,OTC,whole,object,1.25,0.38053692554280055
sub-004,OTC,whole,object,1.5,0.5179309923094537
sub-004,OTC,whole,object,1.75,0.6455177247091288
sub-004,OTC,whole,object,2.0,0.7650936975765004
sub-004,OTC,whole,object,2.25,0.8543483869925054
sub-004,OTC,whole,object,2.5,0.9099662187176395
sub-004,OTC,whole,object,2.75,0.9399143735293023
sub-004,OTC,whole,object,3.0,0.963266104252506
sub-004,OTC,whole,object,3.25,0.9851949594834081
sub-004,OTC,whole,object,3.5,0.9972527673864943
sub-004,OTC,whole,object,3.75,1.0
sub-004,OTC,whole,object,4.0,1.0
sub-004,OTC,whole,object,4.25,1.0
sub-004,OTC,whole,object,4.5,1.0
sub-004,OTC,whole,object,4.75,1.0
sub-004,OTC,whole,object,5.0,1.0
sub-004,OTC,lateral,object,0.25,0.09815718941244153
sub-004,OTC,lateral,object,0.5,0.12220420447376946
sub-004,OTC,lateral,object,0.75,0.1731075439035494
sub-004,OTC,lateral,object,1.0,0.24580294943279932
sub-004,OTC,lateral,object,1.25,0.33620170433345753
sub-004,OTC,lateral,object,1.5,0.47573052087273837
sub-004,OTC,lateral,object,1.75,0.6236100202823532
sub-004,OTC,lateral,object,2.0,0.7582971343622841
sub-004,OTC,lateral,object,2.25,0.8440662839152578
sub-004,OTC,lateral,object,2.5,0.894714821403203
sub-004,OTC,lateral,object,2.75,0.9281943785149964
sub-004,OTC,lateral,object,3.0,0.9563041221592773
sub-004,OTC,lateral,object,3.25,0.9832037377257069
sub-004,OTC,lateral,object,3.5,0.9970383896138368
sub-004,OTC,lateral,object,3.75,1.0
sub-004,OTC,lateral,object,4.0,1.0
sub-004,OTC,lateral,object,4.25,1.0
sub-004,OTC,lateral,object,4.5,1.0
sub-004,OTC,lateral,object,4.75,1.0
sub-004,OTC,lateral,object,5.0,1.0
sub-004,OTC,medial,object,0.25,0.14648668258065536
sub-004,OTC,medial,object,0.5,0.1963370579025308
sub-004,OTC,medial,object,0.75,0.2753779143757613
sub-004,OTC,medial,object,1.0,0.37656631599442975
sub-004,OTC,medial,object,1.25,0.49353968290233424
sub-004,OTC,medial,object,1.5,0.6289344130526513
sub-004,OTC,medial,object,1.75,0.7108162922556115
sub-004,OTC,medial,object,2.0,0.7902642013520932
sub-004,OTC,medial,object,2.25,0.8945413966466971
sub-004,OTC,medial,object,2.5,0.9640655481868724
sub-004,OTC,medial,object,2.75,0.992340407670393
sub-004,OTC,medial,object,3.0,1.0
sub-004,OTC,medial,object,3.25,1.0
sub-004,OTC,medial,object,3.5,1.0
sub-004,OTC,medial,object,3.75,1.0
sub-004,OTC,medial,object,4.0,1.0
sub-004,OTC,medial,object,4.25,1.0
sub-004,OTC,medial,object,4.5,1.0
sub-004,OTC,medial,object,4.75,1.0
sub-004,OTC,whole,word,0.25,-0.3450867379401562
sub-004,OTC,whole,word,0.5,-0.378554018546876
sub-004,OTC,whole,word,0.75,-0.3631007054527107
sub-004,OTC,whole,word,1.0,-0.3743859838750018
sub-004,OTC,whole,word,1.25,-0.3236926230587003
sub-004,OTC,whole,word,1.5,-0.09105266326010207
sub-004,OTC,whole,word,1.75,0.39696270434036224
sub-004,OTC,whole,word,2.0,0.9821406663511926
sub-004,OTC,whole,word,2.25,1.0
sub-004,OTC,whole,word,2.5,1.0
sub-004,OTC,lateral,word,0.25,-0.40572554368036223
sub-004,OTC,lateral,word,0.5,-0.4664919143783337
sub-004,OTC,lateral,word,0.75,-0.44017011101374337
sub-004,OTC,lateral,word,1.0,-0.4510640395485633
sub-004,OTC,lateral,word,1.25,-0.3712711724836423
sub-004,OTC,lateral,word,1.5,-0.08279810716057019
sub-004,OTC,lateral,word,1.75,0.5528685151326661
sub-004,OTC,lateral,word,2.0,1.0
sub-004,OTC,lateral,word,2.25,1.0
sub-004,OTC,medial,word,0.25,-0.2316846311576684
sub-004,OTC,medial,word,0.5,-0.25739327521059985
sub-004,OTC,medial,word,0.75,-0.26026762640339934
sub-004,OTC,medial,word,1.0,-0.2853759812893919
sub-004,OTC,medial,word,1.25,-0.25454468212221926
sub-004,OTC,medial,word,1.5,-0.08407076431958566
sub-004,OTC,medial,word,1.75,0.16807374443738077
sub-004,OTC,medial,word,2.0,0.8566481137909707
sub-005,OTC,whole,face,0.25,0.004473117981206916
sub-005,OTC,whole,face,0.5,0.000841492408285929
sub-005,OTC,whole,face,0.75,0.012733909294803749
sub-005,OTC,whole,face,1.0,0.011993837492784458
sub-005,OTC,whole,face,1.25,0.010604369781206172
sub-005,OTC,whole,face,1.5,-0.0009825818081303588
sub-005,OTC,whole,face,1.75,-0.0084641369156001
