hemi,analysis,level,ctrl,pt,diff,p,n_ctrl,n_pt,sd_ctrl,sd_pt,sd_ratio,p_sd
r,heterogeneity,boot_sd,0.14895791378670287,0.1054277974308053,-0.04353011635589757,0.917008299170083,38,12,,,,
r,per_category,face,-0.1956444305452064,-0.21047583572389952,-0.014831405178693136,0.37736226377362264,38,12,0.044723488780925885,0.06762920147353871,1.512162921922627,0.0352964703529647
r,per_category,house,-0.3725586196797894,-0.36682020270746274,0.005738416972326688,0.8164183581641836,38,12,0.07504896302516414,0.06438083714060266,0.8578511220603484,0.8369163083691631
r,per_category,object,-0.19242970551731872,-0.18792319203666244,0.004506513480656282,0.8238176182381762,38,12,0.05890938881557553,0.0671051470642821,1.1391248222649972,0.3241675832416758
r,per_category,word,-0.39548004653685775,-0.31698217765027614,0.07849786888658161,0.0117988201179882,38,12,0.07723849041152644,0.11975538744220138,1.5504625582937346,0.06679332066793321
r,cross_group,sub-010,0.4960588855259397,0.46222575179715153,0.033833133728788156,,38,12,,,,
r,cross_group,sub-021,0.41892072901706306,0.4283703404635119,-0.009449611446448847,,38,12,,,,
r,cross_group,sub-044,0.5706101125156762,0.5778622078582902,-0.007252095342614062,,38,12,,,,
r,cross_group,sub-066,0.2759825674027499,0.367787761564523,-0.09180519416177307,,38,12,,,,
r,cross_group,sub-069,0.5268004658396567,0.6212856630866647,-0.09448519724700799,,38,12,,,,
r,cross_group,sub-076,0.4655830628447743,0.36123147675129275,0.10435158609348155,,38,12,,,,
r,cross_group,sub-078,0.7244945830744425,0.6451940145272093,0.07930056854723322,,38,12,,,,
r,cross_group,sub-082,0.6124500338640523,0.5211876472663793,0.09126238659767294,,38,12,,,,
r,cross_group,sub-090,0.6578587454809024,0.6329918873155557,0.024866858165346728,,38,12,,,,
r,cross_group,sub-092,0.6874585983204098,0.71141678989085,-0.023958191570440213,,38,12,,,,
r,cross_group,sub-099,0.7006151360774052,0.524709163430797,0.17590597264660823,,38,12,,,,
r,cross_group,sub-108,0.4482666246081323,0.536511695622255,-0.08824507101412266,,38,12,,,,
