hemi,analysis,level,ctrl,pt,diff,p,n_ctrl,n_pt,sd_ctrl,sd_pt,sd_ratio,p_sd
l,cross_group,sub-077,0.8079790519540464,0.5879300769857213,0.2200489749683251,,36,12,,,,
l,cross_group,sub-079,0.5764472240381109,0.5906948365253156,-0.014247612487204742,,36,12,,,,
l,cross_group,sub-089,0.3663346207536829,0.48444959463200016,-0.11811497387831726,,36,12,,,,
l,cross_group,sub-098,0.20288513110319883,0.34769868300135676,-0.14481355189815792,,36,12,,,,
l,cross_group,sub-101,0.3298264738263811,-0.07796978426077755,0.40779625808715864,,36,12,,,,
l,cross_group,sub-109,0.6057260547330345,0.5412277042003465,0.06449835053268804,,36,12,,,,
l,pairwise_matrix,sd_offdiag,,0.3846635008819917,,,36,12,,,,
r,pair,face-house,-0.35780783006301486,-0.41033439853558007,-0.052526568472565205,0.24237576242375763,36,12,,,,
r,pair,face-object,-0.12399104716700865,-0.13986163855454414,-0.015870591387535493,0.785921407859214,36,12,,,,
r,pair,face-word,-0.11060477026236383,-0.08123147008157437,0.029373300180789458,0.569043095690431,36,12,,,,
r,pair,house-object,-0.08293029347222486,-0.1221595421364985,-0.039229248664273644,0.50994900509949,36,12,,,,
r,pair,house-word,-0.6917358249093186,-0.5679666674503094,0.12376915745900918,0.0367963203679632,36,12,,,,
r,pair,object-word,-0.37655171083868966,-0.30174839541894477,0.07480331541974489,0.3417658234176582,36,12,,,,
r,heterogeneity,mean_r,0.6062190928486192,0.5325645332978733,-0.07365455955074585,0.132986701329867,36,12,,,,
r,heterogeneity,boot_sd,0.15050805752042515,0.10567812060606048,-0.04482993691436467,0.9191080891910809,36,12,,,,
r,per_category,face,-0.19746788249746247,-0.21047583572389952,-0.013007953226437052,0.46285371462853714,36,12,0.04671484551300836,0.06762920147353871,1.4477025607353549,0.05959404059594041
r,per_category,house,-0.3774913161481862,-0.36682020270746274,0.010671113440723468,0.6585341465853415,36,12,0.07347516161816371,0.06438083714060266,0.8762258663026493,0.8083191680831917
r,per_category,object,-0.19449101715930775,-0.18792319203666244,0.00656782512264531,0.7450254974502549,36,12,0.0565311850877988,0.0671051470642821,1.1870465294520332,0.27187281271872815
r,per_category,word,-0.3929641020034574,-0.31698217765027614,0.07598192435318124,0.014098590140985901,36,12,0.07597339285846413,0.11975538744220138,1.576280628473466,0.06409359064093591
r,cross_group,sub-010,0.5055533224886671,0.46222575179715153,0.043327570691515604,,36,12,,,,
r,cross_group,sub-021,0.42708526695315385,0.4283703404635119,-0.001285073510358059,,36,12,,,,
r,cross_group,sub-044,0.590023403290473,0.5778622078582902,0.012161195432182748,,36,12,,,,
r,cross_group,sub-066,0.29152459609273657,0.367787761564523,-0.07626316547178641,,36,12,,,,
r,cross_group,sub-069,0.5611011163706711,0.6212856630866647,-0.0601845467159936,,36,12,,,,
r,cross_group,sub-076,0.47690559883663686,0.36123147675129275,0.11567412208534411,,36,12,,,,
r,cross_group,sub-078,0.7380199139610893,0.6451940145272093,0.09282589943388009,,36,12,,,,
r,cross_group,sub-082,0.6248934335243105,0.5211876472663793,0.10370578625793114,,36,12,,,,
r,cross_group,sub-090,0.6701145877945406,0.6329918873155557,0.037122700478984916,,36,12,,,,
r,cross_group,sub-092,0.7093476835845166,0.71141678989085,-0.0020691063063333903,,36,12,,,,
r,cross_group,sub-099,0.6939267705128532,0.524709163430797,0.16921760708205624,,36,12,,,,
r,cross_group,sub-108,0.4795734076910776,0.536511695622255,-0.05693828793117739,,36,12,,,,
r,pairwise_matrix,sd_offdiag,,0.25823448317586306,,,36,12,,,,
